,tensao_nominal,localizacao,nome_fabricante,sigla_subestacao
0,230.0,linha_de_transmissao,ALSTHOM SAVOIS.,CMQ
1,230.0,linha_de_transmissao,ALSTHOM SAVOIS.,CMQ
2,230.0,linha_de_transmissao,CHESF,NTT
3,230.0,transformador,CHESF,SBD
4,230.0,outros,ALSTOM,IGD
5,230.0,linha_de_transmissao,CHESF,IGD
6,230.0,transformador,ALSTOM,IGD
7,230.0,linha_de_transmissao,CHESF,NTT
8,230.0,linha_de_transmissao,CHESF,NTT
9,230.0,linha_de_transmissao,CHESF,NTT
10,230.0,linha_de_transmissao,CHESF,NTT
11,230.0,outros,CHESF,IGD
12,230.0,linha_de_transmissao,CHESF,IGD
13,69.0,outros,CHESF,JZD
14,230.0,linha_de_transmissao,COELME,IGD
15,230.0,capacitor,ALSTOM,IGD
16,230.0,transformador,ALSTOM,IGD
17,230.0,transformador,ALSTOM,MPD
18,230.0,outros,ALSTOM,MPD
19,230.0,transformador,ALSTOM,MPD
20,230.0,reator,ALSTOM,MPD
21,230.0,linha_de_transmissao,ALSTOM,MPD
22,230.0,reator,ALSTOM,MPD
23,138.0,transformador,ALSTOM,JCT
24,138.0,transformador,ALSTOM,JCT
25,138.0,transformador,ALSTOM,JCT
26,138.0,transformador,ALSTOM,JCT
27,138.0,transformador,ALSTOM,JCT
28,138.0,transformador,ALSTOM,JCT
29,138.0,transformador,ALSTOM,JCT
30,138.0,transformador,ALSTOM,JCT
31,138.0,outros,ALSTOM,JCT
32,138.0,outros,ALSTOM,JCT
33,138.0,capacitor,ALSTOM,JCT
34,138.0,capacitor,ALSTOM,JCT
35,138.0,capacitor,ALSTOM,JCT
36,138.0,capacitor,ALSTOM,JCT
37,138.0,capacitor,ALSTOM,JCT
38,230.0,transformador,ALSTOM,CID
39,230.0,transformador,ALSTOM,CID
40,230.0,transformador,ALSTOM,CID
41,230.0,transformador,ALSTOM,CID
42,230.0,outros,ALSTOM,CID
43,230.0,linha_de_transmissao,ALSTOM,CID
44,230.0,transformador,ALSTOM,CID
45,230.0,transformador,ALSTOM,CID
46,230.0,linha_de_transmissao,ALSTOM,CID
47,230.0,linha_de_transmissao,ALSTOM,CID
48,230.0,linha_de_transmissao,ALSTOM,CID
49,230.0,linha_de_transmissao,ALSTOM,CID
50,230.0,linha_de_transmissao,ALSTOM,CID
51,138.0,transformador,ALSTOM,JCT
52,138.0,transformador,ALSTOM,JCT
53,138.0,transformador,ALSTOM,JCT
54,138.0,transformador,ALSTOM,JCT
55,138.0,transformador,ALSTOM,JCT
56,138.0,transformador,ALSTOM,JCT
57,138.0,transformador,ALSTOM,JCT
58,138.0,transformador,ALSTOM,JCT
59,138.0,outros,ALSTOM,JCT
60,138.0,outros,ALSTOM,JCT
61,13.8,reator,ALSTOM,CID
62,13.8,reator,ALSTOM,CID
63,13.8,capacitor,ALSTOM,CID
64,13.8,capacitor,ALSTOM,CID
65,13.8,capacitor,ALSTOM,CID
66,13.8,capacitor,ALSTOM,CID
67,230.0,linha_de_transmissao,ALSTOM,LND
68,69.0,capacitor,ALSTOM,IGD
69,69.0,capacitor,ALSTOM,IGD
70,69.0,outros,ALSTOM,IGD
71,69.0,outros,ALSTOM,IGD
72,69.0,transformador,ALSTOM,IGD
73,69.0,transformador,ALSTOM,IGD
74,69.0,transformador,ALSTOM,IGD
75,69.0,transformador,ALSTOM,IGD
76,69.0,transformador,ALSTOM,IGD
77,69.0,transformador,ALSTOM,IGD
78,69.0,transformador,ALSTOM,MPD
79,69.0,outros,ALSTOM,MPD
80,69.0,transformador,ALSTOM,MPD
81,69.0,outros,ALSTOM,MPD
82,69.0,transformador,ALSTOM,MPD
83,69.0,transformador,ALSTOM,ART
84,69.0,transformador,ALSTOM,ART
85,69.0,outros,ALSTOM,ART
86,69.0,outros,ALSTOM,ART
87,69.0,transformador,ALSTOM,ART
88,69.0,outros,ALSTOM,ART
89,69.0,linha_de_transmissao,ALSTOM,ART
90,69.0,linha_de_transmissao,ALSTOM,ART
91,69.0,linha_de_transmissao,ALSTOM,ART
92,69.0,linha_de_transmissao,ALSTOM,JCD
93,69.0,linha_de_transmissao,ALSTOM,JCD
94,69.0,linha_de_transmissao,ALSTOM,JCD
95,69.0,linha_de_transmissao,ALSTOM,JCD
96,69.0,linha_de_transmissao,ALSTOM,JCD
97,69.0,linha_de_transmissao,ALSTOM,JCD
98,69.0,transformador,ALSTOM,LND
99,69.0,transformador,ALSTOM,LND
100,69.0,transformador,ALSTOM,LND
101,69.0,outros,ALSTOM,LND
102,69.0,outros,ALSTOM,LND
103,69.0,outros,ALSTOM,LND
104,69.0,transformador,ALSTOM,LND
105,69.0,transformador,ALSTOM,LND
106,69.0,transformador,ALSTOM,LND
107,69.0,outros,ALSTOM,AUD
108,69.0,outros,ALSTOM,AUD
109,69.0,outros,ALSTOM,AUD
110,69.0,transformador,ALSTOM,AUD
111,69.0,transformador,ALSTOM,AUD
112,69.0,transformador,ALSTOM,AUD
113,69.0,transformador,ALSTOM,AUD
114,69.0,transformador,ALSTOM,AUD
115,69.0,transformador,ALSTOM,AUD
116,69.0,capacitor,ALSTOM,IBD
117,69.0,capacitor,ALSTOM,IBD
118,69.0,capacitor,ALSTOM,IBD
119,69.0,transformador,ALSTOM,IBD
120,69.0,transformador,ALSTOM,IBD
121,69.0,transformador,ALSTOM,IBD
122,69.0,transformador,ALSTOM,IBD
123,69.0,transformador,ALSTOM,IBD
124,69.0,transformador,ALSTOM,IBD
125,69.0,outros,ALSTOM,IBD
126,69.0,outros,ALSTOM,IBD
127,69.0,outros,ALSTOM,IBD
128,69.0,transformador,ALSTOM,PLO
129,69.0,transformador,ALSTOM,PLO
130,69.0,transformador,ALSTOM,PLO
131,69.0,outros,ALSTOM,PLO
132,69.0,outros,ALSTOM,PLO
133,69.0,outros,ALSTOM,PLO
134,69.0,linha_de_transmissao,ALSTOM,PLO
135,69.0,linha_de_transmissao,ALSTOM,PLO
136,69.0,linha_de_transmissao,ALSTOM,PLO
137,69.0,linha_de_transmissao,ALSTOM,PLO
138,69.0,linha_de_transmissao,ALSTOM,PLO
139,69.0,linha_de_transmissao,ALSTOM,PLO
140,69.0,linha_de_transmissao,ALSTOM,PLO
141,69.0,linha_de_transmissao,ALSTOM,PLO
142,69.0,linha_de_transmissao,ALSTOM,PLO
143,69.0,linha_de_transmissao,ALSTOM,PLO
144,69.0,linha_de_transmissao,ALSTOM,PLO
145,69.0,linha_de_transmissao,ALSTOM,PLO
146,69.0,linha_de_transmissao,ALSTOM,PLO
147,69.0,linha_de_transmissao,ALSTOM,PLO
148,69.0,linha_de_transmissao,ALSTOM,PLO
149,69.0,linha_de_transmissao,ALSTOM,PLO
150,69.0,linha_de_transmissao,ALSTOM,PLO
151,69.0,outros,HARVEY HUBBEL,BRA
152,69.0,linha_de_transmissao,HARVEY HUBBEL,BRA
153,69.0,linha_de_transmissao,HARVEY HUBBEL,BRA
154,69.0,linha_de_transmissao,HARVEY HUBBEL,BJS
155,69.0,transformador,HARVEY HUBBEL,IRE
156,69.0,transformador,HARVEY HUBBEL,IRE
157,69.0,linha_de_transmissao,HARVEY HUBBEL,BJS
158,69.0,linha_de_transmissao,HARVEY HUBBEL,BJS
159,69.0,outros,HARVEY HUBBEL,IRE
160,69.0,linha_de_transmissao,HARVEY HUBBEL,BJS
161,69.0,linha_de_transmissao,HARVEY HUBBEL,BJS
162,69.0,transformador,HARVEY HUBBEL,BJS
163,69.0,transformador,HARVEY HUBBEL,BJS
164,69.0,transformador,HARVEY HUBBEL,MRD
165,69.0,transformador,HARVEY HUBBEL,CGD
166,69.0,transformador,HARVEY HUBBEL,CGD
167,69.0,transformador,HARVEY HUBBEL,CGD
168,69.0,linha_de_transmissao,HARVEY HUBBEL,MRD
169,69.0,outros,HARVEY HUBBEL,MRD
170,69.0,capacitor,HARVEY HUBBEL,MRD
171,69.0,linha_de_transmissao,HARVEY HUBBEL,NTD
172,69.0,linha_de_transmissao,HARVEY HUBBEL,NTD
173,69.0,linha_de_transmissao,HARVEY HUBBEL,NTD
174,69.0,linha_de_transmissao,HARVEY HUBBEL,NTD
175,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
176,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
177,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
178,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
179,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
180,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
181,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
182,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
183,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
184,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
185,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
186,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
187,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
188,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
189,69.0,linha_de_transmissao,HARVEY HUBBEL,MRR
190,69.0,outros,HARVEY HUBBEL,MRR
191,69.0,outros,HARVEY HUBBEL,MRR
192,69.0,linha_de_transmissao,HARVEY HUBBEL,PRD
193,69.0,transformador,HARVEY HUBBEL,PRD
194,69.0,transformador,HARVEY HUBBEL,PRD
195,69.0,outros,HARVEY HUBBEL,PRD
196,69.0,transformador,HARVEY HUBBEL,TAD
197,69.0,linha_de_transmissao,HARVEY HUBBEL,TAD
198,69.0,linha_de_transmissao,HARVEY HUBBEL,TAD
199,69.0,linha_de_transmissao,HARVEY HUBBEL,TAD
200,69.0,linha_de_transmissao,HARVEY HUBBEL,TAD
201,69.0,transformador,HARVEY HUBBEL,BNO
202,69.0,linha_de_transmissao,HARVEY HUBBEL,BNO
203,69.0,linha_de_transmissao,HARVEY HUBBEL,BNO
204,69.0,linha_de_transmissao,HARVEY HUBBEL,BNO
205,69.0,linha_de_transmissao,HARVEY HUBBEL,BNO
206,69.0,linha_de_transmissao,HARVEY HUBBEL,BNO
207,69.0,linha_de_transmissao,HARVEY HUBBEL,BNO
208,69.0,transformador,HARVEY HUBBEL,BNO
209,69.0,transformador,HARVEY HUBBEL,BNO
210,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
211,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
212,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
213,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
214,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
215,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
216,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
217,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
218,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
219,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
220,69.0,outros,HARVEY HUBBEL,JDM
221,69.0,outros,HARVEY HUBBEL,JDM
222,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
223,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
224,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
225,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
226,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
227,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
228,69.0,linha_de_transmissao,HARVEY HUBBEL,JDM
229,69.0,transformador,SPIG S.A,BRA
230,69.0,transformador,SPIG S.A,BRA
231,69.0,transformador,SPIG S.A,SNB
232,69.0,transformador,SPIG S.A,SNB
233,69.0,transformador,SPIG S.A,SNB
234,69.0,capacitor,SPIG S.A,MRD
235,69.0,transformador,SPIG S.A,AGL
236,69.0,transformador,SPIG S.A,PFE
237,69.0,transformador,SPIG S.A,PFE
238,69.0,transformador,SPIG S.A,PFE
239,69.0,transformador,SPIG S.A,PFE
240,69.0,outros,SPIG S.A,PFE
241,69.0,linha_de_transmissao,SPIG S.A,PFE
242,69.0,transformador,SPIG S.A,PFE
243,69.0,outros,SPIG S.A,PFE
244,69.0,transformador,SPIG S.A,CTU
245,69.0,transformador,SPIG S.A,CTU
246,69.0,capacitor,SPIG S.A,PTU
247,69.0,transformador,SPIG S.A,PTU
248,69.0,transformador,SPIG S.A,PTU
249,69.0,transformador,SPIG S.A,JCR
250,69.0,transformador,LORENZETTI,BRA
251,69.0,linha_de_transmissao,LORENZETTI,RLD
252,69.0,linha_de_transmissao,LORENZETTI,RLD
253,69.0,linha_de_transmissao,LORENZETTI,RLD
254,69.0,linha_de_transmissao,LORENZETTI,RLD
255,69.0,transformador,LORENZETTI,TAC
256,69.0,transformador,LORENZETTI,TAC
257,69.0,transformador,LORENZETTI,TAC
258,69.0,transformador,HARVEY HUBBEL,BRA
259,69.0,transformador,HARVEY HUBBEL,IRE
260,69.0,outros,HARVEY HUBBEL,CGD
261,69.0,transformador,HARVEY HUBBEL,NTD
262,69.0,outros,HARVEY HUBBEL,NTD
263,69.0,transformador,HARVEY HUBBEL,MRR
264,69.0,transformador,HARVEY HUBBEL,MRR
265,69.0,transformador,HARVEY HUBBEL,MRR
266,69.0,transformador,HARVEY HUBBEL,MRR
267,69.0,outros,HARVEY HUBBEL,GNN
268,69.0,transformador,HARVEY HUBBEL,MRR
269,69.0,transformador,HARVEY HUBBEL,MRR
270,69.0,transformador,HARVEY HUBBEL,MRR
271,69.0,transformador,HARVEY HUBBEL,MRR
272,69.0,outros,HARVEY HUBBEL,MRR
273,69.0,outros,HARVEY HUBBEL,MRR
274,69.0,transformador,HARVEY HUBBEL,PRD
275,69.0,outros,HARVEY HUBBEL,PRD
276,69.0,outros,HARVEY HUBBEL,JCR
277,69.0,outros,HARVEY HUBBEL,JCR
278,69.0,linha_de_transmissao,HARVEY HUBBEL,JCR
279,69.0,linha_de_transmissao,HARVEY HUBBEL,JCR
280,69.0,linha_de_transmissao,HARVEY HUBBEL,JCR
281,69.0,linha_de_transmissao,HITACHI-LINE,BRA
282,69.0,linha_de_transmissao,HITACHI-LINE,BRA
283,69.0,linha_de_transmissao,HITACHI-LINE,BJS
284,69.0,linha_de_transmissao,HITACHI-LINE,BJS
285,69.0,linha_de_transmissao,HITACHI-LINE,BJS
286,69.0,linha_de_transmissao,HITACHI-LINE,BJS
287,69.0,linha_de_transmissao,HITACHI-LINE,IRE
288,69.0,linha_de_transmissao,HITACHI-LINE,IRE
289,69.0,linha_de_transmissao,HITACHI-LINE,GNN
290,69.0,outros,HITACHI-LINE,BNO
291,69.0,linha_de_transmissao,HITACHI-LINE,ZBU
292,69.0,linha_de_transmissao,HITACHI-LINE,ZBU
293,69.0,linha_de_transmissao,HITACHI-LINE,JDM
294,69.0,capacitor,HITACHI-LINE,JDM
295,230.0,outros,CEME,BJS
296,230.0,transformador,CEME,BJS
297,230.0,transformador,CEME,BJS
298,230.0,transformador,CEME,BJS
299,230.0,transformador,CEME,BJS
300,230.0,outros,CEME,BJS
301,230.0,transformador,CEME,IRE
302,230.0,transformador,CEME,IRE
303,230.0,transformador,CEME,IRE
304,230.0,transformador,CEME,IRE
305,230.0,transformador,CEME,SNB
306,230.0,transformador,CEME,SNB
307,230.0,transformador,CEME,SNB
308,230.0,transformador,CEME,AGL
309,230.0,linha_de_transmissao,CEME,MSI
310,230.0,linha_de_transmissao,CEME,MSI
311,230.0,linha_de_transmissao,CEME,MSI
312,230.0,linha_de_transmissao,CEME,MSI
313,230.0,transformador,CEME,AGL
314,230.0,transformador,CEME,AGL
315,230.0,transformador,CEME,BGI
316,230.0,linha_de_transmissao,CEME,ICO
317,230.0,linha_de_transmissao,CEME,ICO
318,230.0,transformador,CEME,ICO
319,230.0,reator,CEME,BNB
320,230.0,transformador,CEME,DMG
321,230.0,transformador,CEME,DMG
322,230.0,transformador,CEME,DMG
323,230.0,transformador,CEME,PIC
324,230.0,transformador,CEME,PIC
325,230.0,linha_de_transmissao,CEME,ITH
326,230.0,outros,CEME,ITH
327,230.0,outros,CEME,ITH
328,230.0,transformador,CEME,ITH
329,230.0,transformador,CEME,ITH
330,230.0,linha_de_transmissao,CEME,ENP
331,230.0,transformador,CEME,MTT
332,230.0,transformador,CEME,MTT
333,230.0,transformador,CEME,MTT
334,230.0,transformador,CEME,MTT
335,230.0,transformador,CEME,MTT
336,230.0,transformador,CEME,MTT
337,230.0,transformador,CEME,MTT
338,230.0,reator,ALCACE,BJS
339,230.0,reator,ALCACE,BJS
340,230.0,linha_de_transmissao,ALCACE,BJS
341,230.0,linha_de_transmissao,ALCACE,BJS
342,230.0,transformador,ALCACE,MRR
343,230.0,linha_de_transmissao,ALCACE,CMD
344,230.0,linha_de_transmissao,ALCACE,CMD
345,230.0,linha_de_transmissao,ALCACE,CMD
